Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Benin, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , 0.08, , , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , 
Benin, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , 0.07, 0.07, 0.07, 0.08, , 0.09, 0.09, 0.09, , 0.09, 0.09, 0.08, 0.08, 0.07, 0.06, , 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06
Bhutan, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.32, , , , , , , , , , , , 
Bhutan, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32
Bolivia (Plurinational State of), Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 1.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bolivia (Plurinational State of), Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.78, , , , , , , , , 1.92, , , , , , , , , , , , 
Bolivia (Plurinational State of), Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 1.11, 1.17, 1.23, 1.29, 1.36, 1.42, 1.48, 1.54, 1.6, 1.66, 1.72, , 1.79, 1.81, 1.82, 1.84, 1.86, 1.87, 1.89, 1.9, , 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92
Botswana, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.05, , , , , , , , 0.08, , , , , , , , , , , 0.07, 0.07, , 0.07, 0.07, 0.08, 0.07, 0.08, 0.07, 0.08
Botswana, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , 
Botswana, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.06, 0.06, , 0.07, 0.07, 0.07, 0.08, , 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, , , 0.07, , , , , , , 
Brazil, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 33.43, , , , , , , , , , 31.7, , , , 44.9, , , , 35.27, 34.5, 40.36, 39.43, 38.81, 42.54, 41.42
Brazil, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 33.26, 33.08, 32.91, 32.74, 32.56, 32.39, 32.22, 32.05, 31.87, , 35, 38.3, 41.6, , 42.49, 40.09, 37.68, , , , , , , 
Brunei Darussalam, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , , , , , , , , , , , 
Brunei Darussalam, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
Bulgaria, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , 3.06, , , , , , , , , , , , , , , , , , , , , , 0.94, 1.05, 0.95, 0.82, 0.73, 0.83, 0.91, 0.83, 0.72, 0.8, 0.76
Bulgaria, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , 2.23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bulgaria, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , 2.64, , 2.12, 2.02, 1.91, 1.81, 1.71, 1.6, 1.5, 1.39, 1.29, , , , , , 0.89, , 0.7, , , , , , , , , , , , , 
Bulgaria, Agricultural water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.19, 0.87, 0.74, 1.1, 0.9, , 0.88, , 1.01, 1, , , , , , , , , , , 
Burkina Faso, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 0.23, , , , , , , 0.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Burkina Faso, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , 0.28, , , , , , , , , , , 0.42, , , , 0.42, , , , , , , , , , , , , , , 
Burkina Faso, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , 0.24, 0.25, 0.26, 0.27, , 0.29, , 0.32, 0.33, 0.34, 0.36, 0.37, 0.38, 0.39, 0.41, , 0.42, 0.42, 0.42, , 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42
Burundi, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Burundi, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.22, , , , , , , , , , , , , , , , , , , , 
Burundi, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.08, 0.09, 0.1, 0.11, 0.12, 0.14, 0.15, 0.16, 0.17, 0.19, 0.2, 0.21, , 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22
Cabo Verde, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cabo Verde, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , 0.03, , , , , , , , , , , , , , , , 
Cabo Verde, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, , 0.02, 0.02, 0.02, , 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03
