Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Chad, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 33.44, 40.62, 47.29, 53.51, 59.3, 64.67, 69.64, 74.2, 78.34, 82.09, 85.46, 88.45, 91.05, 93.27, 94.53, 95.5, 92.54, 89.73, 87.12, 84.11, 81.31, 78.65, 76.09, 73.59, 71.16, 68.8, 66.53, 64.38, 62.33, 60.41, 58.57, 56.83, 55.16, 53.55
Chile, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1478.88, 1532.56, 1584.94, 1636.5, 1687.47, 1737.91, 1787.89, 1837.39, 1886.37, 1934.95, 1983.13, 2030.69, 2077.25, 2122.55, 2166.38, 2124.89, 2083.93, 2043.84, 2004.78, 1967.12, 1930.67, 1894.45, 1857.21, 1818.43, 1777.69, 1752.53, 1728.32, 1708, 1693.33
China, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , 433.68, 435.77, 437.81, 439.58, 440.78, 437.14, 432.81, 428, 423.17, 418.88, 415.48, 416.87, 418.98, 421.62, 420.56, 419.61, 418.74, 418, 417.39, 416.94, 416.66, 414.55, 412.59, 410.73, 408.96, 407.23, 416.65, 415.11, 418.36, 421.2, 421.72, 426.06, 426.31, 427.14, 418.82, 415.87, 417.86, 416.03, 412.2, 410.83, 395.09
Colombia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 195.46, 204.9, 214.1, 223.07, 231.88, 240.56, 249.11, 257.54, 265.89, 310.68, 354.66, 398.02, 440.8, 482.76, 523.38, 562.24, 581.21, 566.41, 546.58, 560.89, 572.21
Comoros, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 18.91, 18.44, 17.99, 17.56, 17.15, 16.74, 16.35, 15.96, 15.59, 15.22, 14.85, 14.5, 14.15, 13.81, 13.49, 13.17, 12.86, 12.57, 12.29, 12.01, 11.75, 11.5
Congo, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 18.42, 18.1, 17.79, 17.48, 17.17, 16.87, 16.56, 16.26, 15.96, 15.65, 15.35, 15.04, 14.74, 14.45, 14.17, 13.9, 17.97, 21.78, 25.31, 24.49, 23.66, 22.86, 22.12, 21.46, 20.87, 20.33, 19.84, 19.36, 18.88, 18.41, 17.94, 17.49, 17.04, 16.62
Costa Rica, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 498.72, 519.9, 571.91, 658.63, 600.26, 492.93, 610.78, 621.71, 615.63
Croatia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 130.47, 139.47, 138.43, 140.57, 145.14, 149.22, 147.42, 159.01, 156, 159.29, 162.08, 148.2, 158.95, 174.26, 171.79, 171.65, 303.39, 308.45, 299.37
Cuba, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 478.59, 476.82, 475.09, 473.44, 471.94, 470.62, 469.46, 468.45, 467.67, 467.24, 467.22, 467.69, 438.77, 510.66, 539.5, 536.21, 563.56, 590.36, 616.78, 615.46, 614.49, 613.93, 613.71, 613.77, 614.02, 614.39
Cyprus, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , 238.55, 242.42, 246.12, 249.83, 253.82, 258.24, 263.5, 269.19, 274.9, 280.06, 284.22, 288.06, 290.86, 292.75, 293.99, 294.8, 282.2, 269.79, 257.71, 249.24, 241.16, 233.48, 226.18, 219.23, 212.58, 206.19, 197.28, 216.47, 236.85, 259.37, 221.1, 211.29, 203.63, 150.52, 167.2, 183.53, 197.63, 223.78, 223.19, 241.26, 253.23, 267.48, 251.76, 240.48, 228.6, 227.77
Czechia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 289.34, 277.01, 264.81, 252.92, 241.09, 235.89, 230.72, 225.53, 220.29, 186.11, 211.01, 205.8, 200.23, 194.28, 190.1, 181.79, 177.62, 172.69, 167.22, 173.99, 155.86, 155.75, 150.92, 154.44, 153.18, 149.08, 140.89, 127.56
Côte d'Ivoire, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 66.27, 75.65, 84.3, 92.24, 91.65, 91.01, 90.34, 89.7, 88.84, 88.03, 87.27, 86.59, 86.03, 85.62, 85.26, 85.02, 84.83, 84.65, 84.4, 80.31, 76.27, 72.36, 68.59, 64.92, 61.36, 57.92, 54.56, 51.31, 50.03, 48.78, 47.55, 46.35, 45.18, 44.05
Democratic People's Republic of Korea, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 373.13, 370.73, 368.32, 366.02, 363.94, 362.19, 359.92, 357.93, 356.14, 354.42, 352.68, 350.9, 349.1, 347.29, 345.51, 343.78, 342.1, 340.46, 338.86, 337.32, 335.85
Democratic Republic of the Congo, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 11.45, 11.64, 11.85, 12.06, 12.25, 12.4, 12.47, 12.51, 12.52, 12.51, 12.48, 12.08, 11.69, 11.32, 10.95, 10.59, 10.24, 9.9, 9.58, 9.27, 8.97, 8.68, 8.4, 8.13, 7.88, 7.63
